ArrivalTime,Key,NoteType
158,D,Normal
158.4,D,Normal
158.8,Space,Normal
159.2,Space,Normal
159.6,D,Normal
160,F,Normal
160.4,J,Normal
160.8,K,Normal
161.2,D,Normal
161.6,F,Normal
162,J,Normal
162.4,K,Normal
162.8,Space,Normal
163.2,Space,Normal
163.6,J,Normal
164,J,Normal
164.4,K,Normal
165,D,Long
165.2,D,Long
165.4,D,Long
165.6,D,Long
165.8,D,Long
166,D,Long
166.2,D,Long
166.4,D,Long
166.6,D,Long
166.8,D,Long
167,D,Long
167.2,D,Long
167.4,D,Long
167.6,D,Long
167.8,D,Long
168,D,Long
168.2,F,Long
168.4,F,Long
168.6,F,Long
168.8,F,Long
169,F,Long
169.2,F,Long
169.4,F,Long
169.6,F,Long
169.8,F,Long
170,F,Long
170.2,F,Long
170.4,Space,Long
170.6,Space,Long
170.8,Space,Long
171,Space,Long
171.2,Space,Long
171.4,Space,Long
171.6,Space,Long
171.8,Space,Long
172,Space,Long
172.2,Space,Long
172.4,Space,Long
172.6,Space,Long
172.8,J,Long
173,J,Long
173.2,J,Long
173.4,J,Long
173.6,J,Long
173.8,J,Long
174,J,Long
174.2,J,Long
174.4,J,Long
174.6,J,Long
174.8,J,Long
175,J,Long
175.2,J,Long
175.4,K,Long
175.6,K,Long
175.8,K,Long
176,K,Long
176.2,K,Long
176.4,K,Long
176.6,K,Long
176.8,K,Long
177,K,Long
177.2,K,Long
177.4,K,Long
177.6,K,Long
177.8,K,Long
178,K,Long
178.2,K,Long
178.4,K,Long
178.6,K,Long
178.8,K,Long
179,K,Long
179.2,K,Long
179.4,K,Long
179.6,K,Long
179.8,K,Long
180,K,Long
182,D,Normal
182.4,F,Normal
182.8,Space,Normal
183.2,J,Normal
183.6,K,Normal
184,D,Normal
184.4,D,Normal
184.8,F,Normal
185.2,F,Normal
185.6,Space,Normal
186,Space,Normal
186.4,J,Normal
186.8,J,Normal
187.2,K,Normal
187.6,K,Normal
188,J,Normal
188.4,J,Normal
188.8,Space,Normal
189.2,Space,Normal
189.6,F,Normal
190,F,Normal
190.4,D,Normal
190.8,D,Normal
191.2,F,Normal
191.6,F,Normal
192,Space,Normal
192.4,Space,Normal
192.8,J,Normal
193.2,J,Normal
193.6,K,Normal
194,K,Normal
194.4,D,Normal
194.8,F,Normal
195.2,Space,Normal
195.6,J,Normal
196,K,Normal
196.4,D,Normal
196.4,F,Normal
198,J,Normal
198,K,Normal
200,Space,Normal
200,F,Normal
200,J,Normal
202,Space,Normal
202,F,Normal
202,J,Normal
204,D,Normal
204,K,Normal
205,F,Normal
205,J,Normal
210,Space,Long
210.2,Space,Long
210.4,Space,Long
210.6,Space,Long
210.8,Space,Long
211,Space,Long
211.2,Space,Long
211.4,Space,Long
211.6,Space,Long
211.8,Space,Long
212,Space,Long
