ArrivalTime,Key,NoteType
53.9,Space,
54.2,J,
54.5,Space,
54.8,F,
55.1,Space,
55.4,J,
55.7,Space,
56,F,
56.3,Space,
56.6,J,
56.9,Space,
57.2,D,
57.5,F,
57.8,J,
58.1,K,
58.4,Space,
58.7,Space,
59,F,
59.3,J,
60,D,
60,F,
60.3,J,
60.3,K,
60.6,F,
60.6,Space,
61.9,J,
61.9,Space,
62.2,D,
62.2,Space,
62.5,K,
62.5,Space,
62.8,D,
62.8,K,
63.1,F,
63.1,J,
63.4,K,
63.4,D,
63.7,J,
63.7,F,
64,Space,
64,D,
64.3,F,
64.3,D,
64.6,D,
64.6,F,
64.9,Space,
64.9,J,
65.2,F,
65.2,J,
65.5,Space,
65.5,K,
65.8,J,
65.8,D,
66.1,K,
66.1,F,
66.4,D,
66.4,Space,
66.7,F,
66.7,Space,
67,J,
67,Space,
67.3,K,
67.3,Space,
67.6,D,
67.6,J,
67.9,F,
67.9,K,
68.2,D,
68.2,F,
68.5,J,
68.5,K,
68.8,D,
68.8,F,
69.1,F,
69.1,Space,
69.4,J,
69.4,Space,
69.7,K,
69.7,J,
70,D,
70,F,
70.3,Space,
70.3,J,
70.6,K,
70.6,D,
70.9,F,
70.9,J,
71.2,Space,
71.2,K,
71.5,D,
71.5,F,
71.8,J,
71.8,K,
72.1,Space,
72.1,D,
72.4,F,
72.4,Space,
72.7,J,
72.7,K,
73,D,
73,F,
73.3,J,
73.3,K,
73.6,J,
73.6,K,
73.9,D,
73.9,F,
74.2,D,
74.2,F,
74.5,J,
74.5,K,
75,J,Normal
75,D,Long
75.1,D,Long
75.2,D,Long
75.3,D,Long
75.3,K,Normal
75.4,D,Long
75.5,D,Long
75.6,D,Long
75.6,Space,Normal
75.7,D,Long
75.8,D,Long
75.9,D,Long
75.9,J,Normal
76,F,Long
76.1,F,Long
76.2,F,Long
76.2,K,Normal
76.3,F,Long
76.4,F,Long
76.5,F,Long
76.5,Space,Normal
76.6,F,Long
76.7,F,Long
76.8,F,Long
76.8,J,Normal
76.9,F,Long
77,F,Long
77.1,F,Long
77.1,K,Normal
77.2,Space,Long
77.3,Space,Long
77.4,Space,Long
77.4,J,Normal
77.5,Space,Long
77.6,Space,Long
77.7,Space,Long
77.7,K,Normal
77.8,Space,Long
77.9,Space,Long
78,Space,Long
78,J,Normal
78.1,D,Long
78.2,D,Long
78.3,D,Long
78.3,K,Normal
78.4,D,Long
78.5,D,Long
78.6,D,Long
78.6,Space,Normal
78.7,D,Long
78.8,D,Long
78.9,D,Long
78.9,J,Normal
79,D,Long
79.1,D,Long
79.2,D,Long
79.2,K,Normal
79.3,F,Long
79.4,F,Long
79.5,F,Long
79.5,Space,Normal
79.6,F,Long
79.7,F,Long
79.8,F,Long
79.8,J,Normal
79.9,F,Long
80,F,Long
80.1,F,Long
80.1,K,Normal
80.2,Space,Long
80.3,Space,Long
80.4,Space,Long
80.4,F,Normal
80.5,Space,Long
80.6,Space,Long
80.7,Space,Long
80.7,D,Normal
80.8,Space,Long
80.9,Space,Long
81,Space,Long
81,F,Normal
81.1,Space,Long
81.2,Space,Long
81.3,Space,Long
81.3,D,Normal
81.4,K,Long
81.5,K,Long
81.6,K,Long
81.6,Space,Normal
81.7,K,Long
81.8,K,Long
81.9,K,Long
81.9,F,Normal
82,K,Long
82.1,K,Long
82.2,K,Long
82.2,D,Normal
82.3,K,Long
82.4,K,Long
82.5,K,Long
82.5,Space,Normal
82.6,J,Long
82.7,J,Long
82.8,J,Long
82.8,F,Normal
82.9,J,Long
83,J,Long
83.1,J,Long
83.1,Space,Normal
83.2,J,Long
83.3,J,Long
83.4,J,Long
83.4,D,Normal
83.5,J,Long
83.6,J,Long
83.7,J,Long
83.7,F,Normal
83.8,Space,Long
83.9,Space,Long
84,Space,Long
84,J,Normal
84.1,Space,Long
84.2,Space,Long
84.3,Space,Long
84.3,K,Normal
84.4,Space,Long
84.5,Space,Long
84.6,Space,Long
84.6,J,Normal
84.7,Space,Long
84.8,Space,Long
84.9,Space,Long
84.9,K,Normal
85,J,Long
85.1,J,Long
85.2,J,Long
85.2,D,Normal
85.3,J,Long
85.4,J,Long
85.5,J,Long
85.2,F,Normal
85.6,J,Long
85.7,J,Long
85.8,J,Long
85.8,Space,Normal
85.9,J,Long
86,J,Long
86.1,J,Long
86.1,D,Normal
86.2,K,Long
86.3,K,Long
86.4,K,Long
86.4,F,Normal
86.5,K,Long
86.6,K,Long
86.7,K,Long
86.7,D,Normal
86.8,K,Long
86.9,K,Long
87,K,Long
87,Space,Normal
87.1,K,Long
87.2,K,Long
87.3,K,Long
87.3,F,Normal
87.4,Space,Long
87.5,Space,Long
87.6,Space,Long
87.6,J,Normal
87.7,Space,Long
87.8,Space,Long
87.9,Space,Long
88,Space,Long
88.1,Space,Long
